id,label
16959677,"To protect the safety of judges by extending the authority of the Judicial Conference to redact sensitive information contained in their financial disclosure reports, and for other purposes."
16959675,"To instruct the Inspector General of the Federal Deposit Insurance Corporation to study the impact of insured depository institution failures, and for other purposes."
16959671,Intelligence Authorization Act for Fiscal Year 2012
16959667,"To designate the property between the United States Federal Courthouse and the Ed Jones Building located at 109 South Highland Avenue in Jackson, Tennessee, as the ""M.D. Anderson Plaza"" and to authorize the placement of a historical/identification marker on the grounds ..."
16959665,Risk-Based Security Screening for Members of the Armed Forces Act
16959661,"To designate the facility of the United States Postal Service located at 20 Main Street in Little Ferry, New Jersey, as the ""Sergeant Matthew J. Fenton Post Office""."
16959655,Belarus Democracy and Human Rights Act of 2011
16959681,"To designate the facility of the United States Postal Service located at 45 Bay Street, Suite 2, in Staten Island, New York, as the ""Sergeant Angel Mendez Post Office""."
16959701,"To provide that Federal funds may not be used for National Heritage Areas and similar areas, and for other purposes."
16959697,History Is Learned from the Living Act
16959687,Freedom to Mourn in Peace Act of 2011
16959713,Sandia Pueblo Settlement Technical Amendment Act
16959711,"To amend the Surface Mining Control and Reclamation Act of 1977 to terminate payments to States certified under that Act, and for other purposes."
16959689,Social Security Safety Dividend Act
16959709,Long Island Sound Restoration and Stewardship Act
16959705,"To provide that funds made available to the Corps of Engineers for certain Missouri River fish and wildlife purposes be used for the reconstruction of flood control structures, and for other purposes."
16959659,"Pipeline Safety, Regulatory Certainty, and Job Creation Act of 2011"
16959693,Hydropower Regulatory Efficiency Act of 2011
16959457,Targeting Transnational Drug Trafficking Act of 2011
16959505,Next Generation Television Marketplace Act
16959499,Equity for Visual Artists Act of 2011
16959497,"To direct the Secretary of State to designate Iran's Revolutionary Guard Corps as a foreign terrorist organization, and for other purposes."
16959481,Medical Controlled Substances Transportation Act of 2011
16959477,District of Columbia-Maryland Reunion Act
16959473,"To amend title 18, United States Code, to increase from 1 to 2 years the post employment restrictions on Members of the House of Representatives."
16959463,Custodial Interrogation Recording Act
16959461,FCC MERGER Act
16959647,Proposing an amendment to the Constitution of the United States relating to limits on the number of terms a Member of Congress may serve.
16959641,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve to 4 in the House of Representatives and 2 in the Senate.
16959519,Proposing an amendment to the Constitution of the United States relating to contributions and expenditures with respect to Federal elections.
16959503,Save Our Small and Seasonal Businesses Act of 2011
16959493,Due Process Guarantee Act of 2011
16959491,Save Our Small and Seasonal Businesses Act of 2011
16959489,New Illegal Deduction Elimination Act
16959485,SALUTE Act
16959513,Indonesian Family Refugee Protection Act
16959469,Rilya Wilson Act
16959509,Federal Prison Industries Competition in Contracting Act of 2011
16959453,End Racial Profiling Act of 2011
16959451,Irene and Lee Tax Relief Storm Recovery Act
16959435,Theft of Trade Secrets Clarification Act of 2012
16959195,Senior Veterans Housing Assistance Act of 2011
16959429,FIRE Stations Act
16959187,Public Housing Tenants Respect Act of 2011
16959425,Family Foreclosure Rescue Corporation Act
16959181,Entrepreneur Startup Growth Act of 2011
16959177,Mandatory Foreclosure Mediation Act
16959173,HOME Act
16959409,National Infrastructure Bank Act of 2011
16959159,Investing in America's Small Businesses Act of 2011
16959393,Northern Border Regional Commission Reauthorization Act of 2011
16959151,Private Mortgage Market Investment Act
16959389,STARTUP Act
16959149,Community Partners Neighborhood Preservation Act of 2011
16959145,"To amend the Truth in Lending Act to exempt certain creditors from the escrow account requirement for higher-priced mortgage loans, and for other purposes."
16959135,National Cooperative Development Act
16959413,Rabbi Arthur Schneier Congressional Gold Medal Act
16959129,Louis Zamperini Congressional Gold Medal Act
16959125,To grant the Congressional Gold Medal to the troops who defended Bataan during World War II.
16959109,Faith-Based Lending Protection Act
16959215,To amend the Sarbanes-Oxley Act of 2002 to make Public Company Accounting Oversight Board disciplinary proceedings open to the public.
16959213,To require the President to impose sanctions on foreign financial institutions that conduct transactions with the Central Bank of Iran.
16959209,Freddie Mac Debt Reduction Act of 2011
16959443,SHORE Act
16959203,Invest in American Jobs Act of 2011
16959199,HOPE VI Program Termination Act of 2011
16959411,Affordable Communities Employment Act of 2011
16959165,"To extend the National Flood Insurance Program until May 31, 2012."
16959139,Small Business Access to Capital Act of 2011
16959121,Affordable Mortgage for Homeowners Act of 2011
16959223,AGREE Act
16959437,To ensure the viability of a technology described in section 1703(b) of the Energy Policy Act of 2005.
16959449,"Deficit Reduction, Job Creation, and Energy Security Act"
16959403,Small Business Energy Improvements Financing Act of 2011
16959399,Livable Communities Act of 2011
16959169,Permanently Protecting Tenants at Foreclosure Act of 2011
16959219,Project Rebuild Act of 2011
16959107,"To grant the Congressional Gold Medal, collectively, to the First Special Service Force, in recognition of its superior service during World War II."
16959419,Christopher's Law
